episode,netreward,epsilon
1,51,0.9
2,-51,0.9
3,-50,0.9
4,-50,0.9
5,-51,0.9
6,50,0.9
7,-51,0.9
8,-51,0.9
9,-50,0.896
10,-51,0.896
11,-51,0.896
12,-51,0.892
13,48,0.892
14,-50,0.888
15,-50,0.884
16,-50,0.884
17,-51,0.88
18,-50,0.88
19,51,0.88
20,-50,0.876
21,50,0.876
22,50,0.872
23,-50,0.872
24,-50,0.872
25,-51,0.864
26,-51,0.864
27,-51,0.86
28,-51,0.86
29,-51,0.856
30,-51,0.856
31,-50,0.856
32,-51,0.848
33,-51,0.848
34,-50,0.848
35,-50,0.844
36,-51,0.844
37,-50,0.844
38,-51,0.84
39,51,0.836
40,-50,0.836
41,-51,0.832
42,-51,0.832
43,-50,0.832
44,-51,0.828
45,-51,0.828
46,-50,0.828
47,-50,0.824
48,-50,0.82
49,-50,0.82
50,-51,0.82
51,-51,0.816
52,51,0.816
53,-51,0.816
54,-50,0.812
55,-51,0.812
56,50,0.808
57,-51,0.808
58,-51,0.804
59,-50,0.804
60,-50,0.8
61,51,0.796
62,-51,0.796
63,-51,0.792
64,-51,0.792
65,-51,0.792
66,-50,0.792
67,-50,0.792
68,51,0.788
69,-51,0.784
70,-50,0.78
71,-51,0.78
72,-50,0.78
73,-50,0.776
74,-50,0.776
75,-51,0.776
76,-51,0.772
77,-50,0.772
78,-50,0.772
79,-51,0.768
80,50,0.768
81,-51,0.764
82,-51,0.764
83,-51,0.764
84,-51,0.76
85,-51,0.756
86,-51,0.752
87,-47,0.752
88,-51,0.748
89,50,0.748
90,-50,0.748
91,-50,0.748
92,51,0.748
93,-50,0.744
94,-50,0.744
95,-50,0.74
96,-51,0.74
97,-51,0.74
98,-50,0.736
99,-51,0.736
100,-50,0.732
101,-50,0.732
102,-51,0.732
103,-51,0.728
104,-50,0.728
105,-50,0.728
106,-50,0.728
107,-50,0.724
108,-50,0.72
109,-50,0.716
110,-51,0.712
111,-50,0.712
112,-50,0.712
113,-50,0.712
114,-50,0.712
115,50,0.708
116,-50,0.704
117,-50,0.704
118,-51,0.7
119,-50,0.7
120,-50,0.7
121,-51,0.696
122,-50,0.696
123,-51,0.692
124,-50,0.688
125,-51,0.688
126,50,0.684
127,51,0.684
128,-50,0.684
129,-51,0.68
130,-51,0.68
131,-50,0.676
132,48,0.676
133,-51,0.672
134,-50,0.668
135,-50,0.668
136,-51,0.663999
137,-50,0.659999
138,-50,0.659999
139,51,0.655999
140,-51,0.651999
141,-50,0.651999
142,-51,0.651999
143,-50,0.647999
144,-51,0.647999
145,-51,0.639999
146,-50,0.639999
147,51,0.635999
148,-51,0.627999
149,-51,0.627999
150,51,0.627999
151,-51,0.623999
152,-51,0.623999
153,-51,0.619999
154,-50,0.619999
155,-50,0.615999
156,-50,0.615999
157,-50,0.615999
158,-50,0.615999
159,-50,0.615999
160,51,0.611999
161,-50,0.611999
162,51,0.611999
163,-50,0.607999
164,-50,0.607999
165,-50,0.607999
166,-51,0.603999
167,-51,0.595999
168,-51,0.595999
169,-50,0.595999
170,-50,0.591999
171,-51,0.591999
172,-49,0.583999
173,-50,0.583999
174,-50,0.583999
175,-50,0.583999
176,-51,0.579999
