episode,netreward,epsilon
177,-51,0.575999
178,-51,0.575999
179,-51,0.571999
180,-51,0.571999
181,-51,0.567999
182,-50,0.567999
183,-51,0.563999
184,-51,0.563999
185,-51,0.563999
186,-50,0.559999
187,-50,0.555999
188,-50,0.551999
189,-50,0.547999
190,-50,0.547999
191,-51,0.547999
192,-50,0.543999
193,-50,0.543999
194,-50,0.543999
195,-51,0.543999
196,-49,0.539999
197,-51,0.539999
198,51,0.535999
199,-51,0.535999
200,-50,0.531999
201,-51,0.531999
202,-50,0.527999
203,-50,0.527999
204,-51,0.523999
205,-50,0.523999
206,-51,0.523999
207,51,0.519999
208,-50,0.519999
209,-51,0.515999
210,50,0.515999
211,-50,0.515999
212,-50,0.511999
213,-50,0.511999
214,50,0.511999
215,-51,0.507999
216,-51,0.503999
217,-50,0.503999
218,-50,0.499999
219,-49,0.499999
220,-50,0.499999
221,-51,0.495999
222,-51,0.495999
223,-51,0.495999
224,-50,0.495999
225,-51,0.491999
226,-51,0.487999
227,-50,0.487999
228,51,0.483999
229,-51,0.483999
230,-50,0.479999
231,-50,0.479999
232,-51,0.475999
233,-51,0.475999
234,-50,0.471999
235,-50,0.471999
236,-51,0.471999
237,-51,0.467999
238,-51,0.463999
239,-51,0.463999
240,-50,0.463999
241,-50,0.459999
242,-51,0.455999
243,50,0.451999
244,-51,0.447999
245,-51,0.447999
246,-51,0.447999
247,-51,0.443999
248,-51,0.443999
249,-50,0.443999
250,-50,0.439999
251,-51,0.435999
252,-51,0.435999
253,-50,0.435999
254,-51,0.431999
255,-51,0.431999
256,-50,0.427999
257,-50,0.427999
258,-51,0.427999
259,-50,0.423999
260,-51,0.423999
261,-51,0.419999
262,-50,0.419999
263,-51,0.419999
264,-50,0.419999
265,-50,0.415999
266,-49,0.411999
267,-51,0.411999
268,-50,0.407999
269,51,0.407999
270,-50,0.403999
271,-51,0.403999
272,-50,0.395999
273,-51,0.395999
274,-50,0.387999
275,-51,0.387999
276,-50,0.383999
277,-50,0.383999
278,-50,0.383999
279,-49,0.383999
280,-51,0.379999
281,-50,0.375999
282,-51,0.375999
283,-50,0.371999
284,50,0.371999
285,-50,0.367999
286,-51,0.367999
287,-50,0.367999
288,-50,0.363999
289,50,0.363999
290,-51,0.363999
291,-51,0.359999
292,-51,0.359999
293,-50,0.355999
294,-50,0.355999
295,-51,0.355999
296,-51,0.355999
297,-51,0.351999
298,-51,0.351999
299,-51,0.351999
300,-50,0.351999
301,-50,0.351999
302,-50,0.347999
303,-50,0.343999
304,-50,0.343999
305,-50,0.343999
306,51,0.343999
307,-51,0.339999
308,-51,0.339999
309,-51,0.335999
310,-51,0.335999
311,-51,0.335999
312,-51,0.331999
313,-50,0.331999
314,51,0.327999
315,51,0.327999
316,50,0.319999
317,-50,0.319999
318,51,0.315999
319,51,0.315999
320,-51,0.311999
321,50,0.307999
322,-51,0.307999
323,-50,0.303999
324,-50,0.303999
325,-50,0.303999
326,-51,0.299999
327,-50,0.299999
328,-51,0.299999
329,-51,0.295999
330,-50,0.295999
331,-50,0.295999
332,-50,0.291999
333,-51,0.291999
334,-50,0.291999
335,-50,0.287999
336,-50,0.287999
337,-51,0.287999
338,-50,0.283999
339,-51,0.283999
340,-51,0.283999
341,-51,0.283999
342,-51,0.279999
343,-51,0.275999
344,-51,0.275999
345,-51,0.271999
346,-51,0.271999
347,-50,0.271999
348,-50,0.267999
349,-51,0.267999
350,-50,0.263999
351,-50,0.259999
352,-50,0.259999
353,-50,0.255999
354,-50,0.255999
355,51,0.255999
356,-50,0.255999
357,-51,0.251999
358,50,0.247999
359,-50,0.247999
360,-51,0.243999
361,-50,0.243999
362,-50,0.239999
363,-51,0.239999
364,51,0.235999
365,-50,0.235999
366,-51,0.235999
367,51,0.231999
368,-50,0.231999
369,-51,0.227999
370,50,0.223999
371,-51,0.223999
372,-50,0.223999
373,-50,0.219999
374,-50,0.219999
375,-50,0.219999
376,-51,0.215999
377,-50,0.215999
378,-50,0.211999
379,-48,0.211999
380,-50,0.211999
381,-50,0.211999
382,-50,0.207999
383,-51,0.203999
384,-50,0.203999
385,-51,0.199999
386,-50,0.199999
387,-50,0.199999
388,-51,0.199999
389,-51,0.199999
390,-51,0.195999
391,-50,0.195999
392,-50,0.195999
393,-50,0.195999
394,51,0.191999
395,-51,0.191999
396,51,0.187999
397,-50,0.187999
398,-51,0.183999
399,-51,0.183999
400,50,0.179999
401,-51,0.175999
402,-51,0.175999
403,-50,0.171999
404,-50,0.163999
405,-50,0.163999
406,-50,0.159999
407,-50,0.159999
408,-50,0.155999
409,-50,0.155999
410,-51,0.151999
411,50,0.151999
412,-50,0.143999
413,-51,0.143999
414,-51,0.139999
415,-50,0.139999
416,-50,0.139999
417,-51,0.135999
418,-50,0.135999
419,-51,0.135999
420,-50,0.131999
421,-51,0.131999
422,-51,0.127999
423,-51,0.123999
424,-51,0.123999
425,50,0.119999
426,-51,0.115999
427,51,0.115999
428,-51,0.115999
429,51,0.111999
430,51,0.107999
431,48,0.107999
432,51,0.103999
433,-50,0.103999
434,-50,0.103999
435,-51,0.0999989
436,-50,0.0959989
437,-51,0.0959989
438,-50,0.0959989
439,-50,0.0959989
440,-50,0.0959989
441,-51,0.0919989
442,-50,0.0879989
443,50,0.0839989
444,50,0.0839989
445,-51,0.0839989
446,-50,0.0799989
447,50,0.0759989
448,-50,0.0759989
449,-50,0.0759989
450,-49,0.0759989
451,-50,0.0759989
452,50,0.0679989
453,51,0.0639989
454,-50,0.0559989
455,-50,0.0519989
456,-51,0.0519989
457,50,0.0439989
458,-51,0.0439989
459,-51,0.0439989
460,-50,0.0399989
461,50,0.0359989
462,-51,0.0319989
463,-51,0.0279989
464,-48,0.0279989
465,-51,0.0239989
466,-47,0.0199989
467,50,0.0159989
468,-51,0.00799885
469,50,0.00399885
470,-51,0.00399885
471,-50,0.00399885
472,-50,0.00399885
473,-50,0.00399885
474,-49,0.00399885
475,-50,0.00399885
476,-50,0.00399885
477,-50,0.00399885
478,-49,0.00399885
479,-50,0.00399885
480,51,0.00399885
481,50,0.00399885
482,-51,0.00399885
483,-50,0.00399885
484,-48,0.00399885
485,51,0.00399885
486,-50,0.00399885
487,-51,0.00399885
488,50,0.00399885
489,-50,0.00399885
490,50,0.00399885
491,51,0.00399885
492,50,0.00399885
493,-51,0.00399885
494,50,0.00399885
495,51,0.00399885
496,-50,0.00399885
497,51,0.00399885
498,51,0.00399885
499,-51,0.00399885
500,50,0.00399885
501,-50,0.00399885
502,49,0.00399885
503,-50,0.00399885
504,50,0.00399885
505,-50,0.00399885
506,51,0.00399885
507,-50,0.00399885
508,51,0.00399885
509,50,0.00399885
510,-50,0.00399885
511,50,0.00399885
512,-49,0.00399885
513,-50,0.00399885
514,-51,0.00399885
515,51,0.00399885
516,-50,0.00399885
517,-50,0.00399885
518,50,0.00399885
519,50,0.00399885
520,-50,0.00399885
521,-51,0.00399885
522,-50,0.00399885
523,50,0.00399885
524,-51,0.00399885
525,-50,0.00399885
526,51,0.00399885
527,51,0.00399885
528,-51,0.00399885
529,-51,0.00399885
530,-50,0.00399885
531,-51,0.00399885
532,50,0.00399885
533,50,0.00399885
534,-49,0.00399885
535,-51,0.00399885
536,-50,0.00399885
537,-50,0.00399885
538,50,0.00399885
539,50,0.00399885
540,-50,0.00399885
541,-51,0.00399885
542,-49,0.00399885
543,-51,0.00399885
544,51,0.00399885
545,50,0.00399885
546,51,0.00399885
547,50,0.00399885
548,51,0.00399885
549,51,0.00399885
550,-51,0.00399885
551,-50,0.00399885
552,-50,0.00399885
553,-51,0.00399885
554,-51,0.00399885
555,-51,0.00399885
556,-50,0.00399885
557,50,0.00399885
558,-48,0.00399885
559,50,0.00399885
560,50,0.00399885
561,50,0.00399885
562,51,0.00399885
563,50,0.00399885
564,-50,0.00399885
565,51,0.00399885
566,50,0.00399885
567,-51,0.00399885
568,-51,0.00399885
569,50,0.00399885
570,50,0.00399885
571,50,0.00399885
572,50,0.00399885
573,-48,0.00399885
574,-51,0.00399885
575,50,0.00399885
576,-49,0.00399885
577,-49,0.00399885
578,-49,0.00399885
579,-50,0.00399885
580,-50,0.00399885
581,-51,0.00399885
582,50,0.00399885
583,50,0.00399885
584,-51,0.00399885
585,-50,0.00399885
586,50,0.00399885
587,-51,0.00399885
588,50,0.00399885
589,50,0.00399885
590,51,0.00399885
591,-49,0.00399885
592,-51,0.00399885
593,50,0.00399885
594,-50,0.00399885
595,51,0.00399885
596,50,0.00399885
597,-51,0.00399885
598,50,0.00399885
599,-50,0.00399885
600,-50,0.00399885
601,51,0.00399885
602,-51,0.00399885
603,-51,0.00399885
604,-51,0.00399885
605,50,0.00399885
606,49,0.00399885
607,-51,0.00399885
608,51,0.00399885
609,-50,0.00399885
610,-50,0.00399885
611,51,0.00399885
612,-47,0.00399885
613,49,0.00399885
614,-51,0.00399885
615,-51,0.00399885
616,50,0.00399885
617,51,0.00399885
618,-51,0.00399885
619,-50,0.00399885
620,-51,0.00399885
621,-51,0.00399885
622,-51,0.00399885
623,51,0.00399885
624,50,0.00399885
625,-51,0.00399885
626,51,0.00399885
627,-48,0.00399885
628,-50,0.00399885
629,-50,0.00399885
630,-48,0.00399885
631,50,0.00399885
632,-50,0.00399885
633,51,0.00399885
634,-51,0.00399885
635,-50,0.00399885
636,-50,0.00399885
637,-50,0.00399885
638,51,0.00399885
639,50,0.00399885
640,-48,0.00399885
641,-51,0.00399885
642,-50,0.00399885
643,-49,0.00399885
644,-51,0.00399885
645,-51,0.00399885
646,50,0.00399885
647,50,0.00399885
648,-48,0.00399885
649,-50,0.00399885
650,51,0.00399885
651,51,0.00399885
652,-48,0.00399885
653,-51,0.00399885
654,-51,0.00399885
655,51,0.00399885
656,51,0.00399885
657,51,0.00399885
658,-50,0.00399885
659,51,0.00399885
660,50,0.00399885
661,-50,0.00399885
662,-50,0.00399885
663,-50,0.00399885
664,48,0.00399885
665,48,0.00399885
666,51,0.00399885
667,51,0.00399885
668,-51,0.00399885
669,50,0.00399885
670,-50,0.00399885
671,51,0.00399885
672,50,0.00399885
673,51,0.00399885
674,-50,0.00399885
675,50,0.00399885
676,-51,0.00399885
677,51,0.00399885
678,-50,0.00399885
679,50,0.00399885
680,50,0.00399885
681,-51,0.00399885
682,-49,0.00399885
683,51,0.00399885
684,51,0.00399885
685,50,0.00399885
686,-49,0.00399885
687,-51,0.00399885
688,-50,0.00399885
689,-49,0.00399885
690,51,0.00399885
691,-49,0.00399885
692,-48,0.00399885
693,-48,0.00399885
694,51,0.00399885
695,-49,0.00399885
696,-48,0.00399885
697,-51,0.00399885
698,-49,0.00399885
699,-50,0.00399885
700,-51,0.00399885
701,-50,0.00399885
702,51,0.00399885
703,50,0.00399885
704,50,0.00399885
705,50,0.00399885
706,-51,0.00399885
707,-50,0.00399885
708,51,0.00399885
709,50,0.00399885
710,-49,0.00399885
711,-50,0.00399885
712,50,0.00399885
713,51,0.00399885
714,-49,0.00399885
715,51,0.00399885
716,-50,0.00399885
717,49,0.00399885
718,-51,0.00399885
719,51,0.00399885
720,51,0.00399885
721,-50,0.00399885
722,51,0.00399885
723,50,0.00399885
724,-51,0.00399885
725,-50,0.00399885
726,49,0.00399885
727,51,0.00399885
728,50,0.00399885
729,-49,0.00399885
730,50,0.00399885
731,50,0.00399885
732,51,0.00399885
733,-50,0.00399885
734,50,0.00399885
735,-50,0.00399885
736,50,0.00399885
737,51,0.00399885
738,51,0.00399885
739,51,0.00399885
740,51,0.00399885
741,49,0.00399885
742,-50,0.00399885
743,-50,0.00399885
744,-50,0.00399885
745,51,0.00399885
746,-51,0.00399885
747,-51,0.00399885
748,-51,0.00399885
749,-50,0.00399885
750,-49,0.00399885
751,-50,0.00399885
752,-51,0.00399885
753,51,0.00399885
754,50,0.00399885
755,-48,0.00399885
756,-48,0.00399885
757,-50,0.00399885
758,50,0.00399885
759,51,0.00399885
760,-49,0.00399885
761,51,0.00399885
762,51,0.00399885
763,51,0.00399885
764,51,0.00399885
765,-49,0.00399885
766,51,0.00399885
767,-51,0.00399885
768,-51,0.00399885
769,50,0.00399885
770,-50,0.00399885
771,-50,0.00399885
772,51,0.00399885
773,-51,0.00399885
774,-50,0.00399885
775,-51,0.00399885
776,-49,0.00399885
777,-51,0.00399885
778,51,0.00399885
779,-50,0.00399885
780,50,0.00399885
781,51,0.00399885
782,-50,0.00399885
783,-49,0.00399885
784,-50,0.00399885
785,49,0.00399885
786,51,0.00399885
787,-47,0.00399885
788,51,0.00399885
789,-51,0.00399885
790,50,0.00399885
791,51,0.00399885
792,-49,0.00399885
793,48,0.00399885
794,-51,0.00399885
795,-50,0.00399885
796,50,0.00399885
797,51,0.00399885
798,50,0.00399885
799,-48,0.00399885
800,50,0.00399885
801,49,0.00399885
802,51,0.00399885
803,-50,0.00399885
804,51,0.00399885
805,-47,0.00399885
806,51,0.00399885
807,50,0.00399885
808,-51,0.00399885
809,-50,0.00399885
810,-50,0.00399885
811,50,0.00399885
812,-50,0.00399885
813,-50,0.00399885
814,50,0.00399885
815,50,0.00399885
816,51,0.00399885
817,-49,0.00399885
818,50,0.00399885
819,-50,0.00399885
820,51,0.00399885
821,50,0.00399885
822,50,0.00399885
823,-49,0.00399885
824,50,0.00399885
825,-51,0.00399885
826,50,0.00399885
827,-50,0.00399885
828,-49,0.00399885
829,51,0.00399885
830,-50,0.00399885
831,51,0.00399885
832,-50,0.00399885
833,50,0.00399885
834,51,0.00399885
835,-50,0.00399885
836,50,0.00399885
837,51,0.00399885
838,51,0.00399885
839,50,0.00399885
840,50,0.00399885
841,51,0.00399885
842,-47,0.00399885
843,50,0.00399885
844,-51,0.00399885
845,-50,0.00399885
846,51,0.00399885
847,-51,0.00399885
848,51,0.00399885
849,-49,0.00399885
850,-51,0.00399885
851,51,0.00399885
852,51,0.00399885
853,51,0.00399885
854,-48,0.00399885
855,-51,0.00399885
856,51,0.00399885
857,-51,0.00399885
858,50,0.00399885
859,-51,0.00399885
860,51,0.00399885
861,-49,0.00399885
862,50,0.00399885
863,-50,0.00399885
864,-50,0.00399885
865,-51,0.00399885
866,51,0.00399885
867,-51,0.00399885
868,50,0.00399885
869,50,0.00399885
870,51,0.00399885
871,50,0.00399885
872,50,0.00399885
873,-49,0.00399885
874,-51,0.00399885
875,50,0.00399885
876,-51,0.00399885
877,-50,0.00399885
878,51,0.00399885
879,51,0.00399885
880,51,0.00399885
881,-51,0.00399885
882,51,0.00399885
883,-51,0.00399885
884,-51,0.00399885
885,51,0.00399885
886,-51,0.00399885
887,-50,0.00399885
888,51,0.00399885
889,-51,0.00399885
890,-50,0.00399885
891,51,0.00399885
892,-50,0.00399885
893,-51,0.00399885
894,51,0.00399885
895,-50,0.00399885
896,-50,0.00399885
897,51,0.00399885
898,51,0.00399885
899,51,0.00399885
900,-51,0.00399885
901,-51,0.00399885
902,-51,0.00399885
903,-50,0.00399885
904,-50,0.00399885
905,-50,0.00399885
906,50,0.00399885
907,51,0.00399885
908,50,0.00399885
909,-49,0.00399885
910,-50,0.00399885
911,-50,0.00399885
912,50,0.00399885
913,-51,0.00399885
914,51,0.00399885
915,51,0.00399885
916,-51,0.00399885
917,-50,0.00399885
918,-50,0.00399885
919,51,0.00399885
920,51,0.00399885
921,50,0.00399885
922,-50,0.00399885
923,-50,0.00399885
924,-50,0.00399885
925,50,0.00399885
926,-51,0.00399885
927,51,0.00399885
928,-51,0.00399885
929,51,0.00399885
930,-50,0.00399885
931,50,0.00399885
932,50,0.00399885
933,50,0.00399885
934,50,0.00399885
935,50,0.00399885
936,-50,0.00399885
937,51,0.00399885
938,-51,0.00399885
939,49,0.00399885
940,50,0.00399885
941,49,0.00399885
942,51,0.00399885
943,51,0.00399885
944,50,0.00399885
945,50,0.00399885
946,51,0.00399885
947,50,0.00399885
948,51,0.00399885
949,-50,0.00399885
950,50,0.00399885
951,50,0.00399885
952,50,0.00399885
953,50,0.00399885
954,51,0.00399885
955,51,0.00399885
956,-51,0.00399885
957,49,0.00399885
958,51,0.00399885
959,50,0.00399885
960,51,0.00399885
961,50,0.00399885
962,-49,0.00399885
963,-50,0.00399885
964,51,0.00399885
965,-50,0.00399885
966,51,0.00399885
967,-50,0.00399885
968,50,0.00399885
969,50,0.00399885
970,-50,0.00399885
971,-48,0.00399885
972,51,0.00399885
973,-50,0.00399885
974,51,0.00399885
975,51,0.00399885
976,50,0.00399885
977,-51,0.00399885
978,-50,0.00399885
979,50,0.00399885
980,50,0.00399885
981,51,0.00399885
982,-50,0.00399885
983,51,0.00399885
984,-49,0.00399885
985,-49,0.00399885
986,50,0.00399885
987,-50,0.00399885
988,50,0.00399885
989,51,0.00399885
990,51,0.00399885
991,-47,0.00399885
992,50,0.00399885
993,51,0.00399885
994,-51,0.00399885
995,-51,0.00399885
996,51,0.00399885
997,51,0.00399885
998,-50,0.00399885
999,-51,0.00399885
1000,50,0.00399885
1001,50,0.00399885
1002,50,0.00399885
1003,-50,0.00399885
1004,51,0.00399885
1005,-50,0.00399885
1006,49,0.00399885
1007,-51,0.00399885
1008,-51,0.00399885
1009,50,0.00399885
1010,-50,0.00399885
1011,-51,0.00399885
1012,50,0.00399885
1013,51,0.00399885
1014,-51,0.00399885
1015,-51,0.00399885
1016,-48,0.00399885
1017,51,0.00399885
1018,51,0.00399885
1019,51,0.00399885
1020,51,0.00399885
1021,50,0.00399885
1022,51,0.00399885
1023,50,0.00399885
1024,49,0.00399885
1025,-51,0.00399885
1026,-50,0.00399885
1027,51,0.00399885
1028,-50,0.00399885
1029,50,0.00399885
1030,-50,0.00399885
1031,-50,0.00399885
1032,51,0.00399885
1033,-50,0.00399885
1034,-50,0.00399885
1035,-51,0.00399885
1036,-50,0.00399885
1037,-50,0.00399885
1038,51,0.00399885
1039,-50,0.00399885
1040,-51,0.00399885
1041,50,0.00399885
1042,-51,0.00399885
1043,-50,0.00399885
1044,50,0.00399885
1045,51,0.00399885
1046,50,0.00399885
1047,51,0.00399885
1048,48,0.00399885
1049,50,0.00399885
1050,-49,0.00399885
1051,51,0.00399885
1052,50,0.00399885
1053,51,0.00399885
1054,51,0.00399885
1055,50,0.00399885
1056,50,0.00399885
1057,-49,0.00399885
1058,50,0.00399885
1059,50,0.00399885
1060,50,0.00399885
1061,50,0.00399885
1062,51,0.00399885
1063,-50,0.00399885
1064,-50,0.00399885
1065,51,0.00399885
1066,50,0.00399885
1067,51,0.00399885
1068,-50,0.00399885
1069,51,0.00399885
1070,50,0.00399885
1071,51,0.00399885
1072,50,0.00399885
1073,48,0.00399885
1074,51,0.00399885
1075,50,0.00399885
1076,50,0.00399885
1077,-50,0.00399885
1078,-51,0.00399885
1079,-51,0.00399885
1080,51,0.00399885
1081,51,0.00399885
1082,50,0.00399885
1083,-50,0.00399885
1084,-50,0.00399885
1085,50,0.00399885
1086,50,0.00399885
1087,-49,0.00399885
1088,-50,0.00399885
1089,-51,0.00399885
1090,-51,0.00399885
1091,51,0.00399885
1092,-51,0.00399885
1093,-49,0.00399885
1094,51,0.00399885
1095,-50,0.00399885
1096,-50,0.00399885
1097,-50,0.00399885
1098,-50,0.00399885
1099,-49,0.00399885
1100,51,0.00399885
1101,50,0.00399885
1102,50,0.00399885
1103,50,0.00399885
1104,50,0.00399885
1105,51,0.00399885
1106,-49,0.00399885
1107,50,0.00399885
1108,50,0.00399885
1109,51,0.00399885
1110,-50,0.00399885
1111,50,0.00399885
1112,50,0.00399885
1113,-51,0.00399885
1114,-51,0.00399885
1115,-50,0.00399885
1116,-50,0.00399885
1117,-50,0.00399885
1118,50,0.00399885
1119,51,0.00399885
1120,51,0.00399885
1121,-50,0.00399885
1122,50,0.00399885
1123,-50,0.00399885
1124,51,0.00399885
1125,51,0.00399885
1126,-48,0.00399885
1127,-49,0.00399885
1128,51,0.00399885
1129,-50,0.00399885
1130,51,0.00399885
1131,50,0.00399885
1132,50,0.00399885
1133,-50,0.00399885
1134,-49,0.00399885
1135,50,0.00399885
1136,50,0.00399885
1137,50,0.00399885
1138,50,0.00399885
1139,-50,0.00399885
1140,-49,0.00399885
1141,-50,0.00399885
1142,50,0.00399885
1143,-51,0.00399885
1144,-50,0.00399885
1145,50,0.00399885
1146,50,0.00399885
1147,-51,0.00399885
1148,51,0.00399885
1149,50,0.00399885
1150,49,0.00399885
1151,-51,0.00399885
1152,-50,0.00399885
1153,51,0.00399885
1154,51,0.00399885
1155,51,0.00399885
1156,51,0.00399885
1157,-51,0.00399885
1158,51,0.00399885
1159,50,0.00399885
1160,-51,0.00399885
1161,50,0.00399885
1162,-50,0.00399885
1163,-50,0.00399885
1164,-51,0.00399885
1165,51,0.00399885
1166,-49,0.00399885
1167,-51,0.00399885
1168,-50,0.00399885
1169,-51,0.00399885
1170,-49,0.00399885
1171,-50,0.00399885
1172,-51,0.00399885
1173,-48,0.00399885
1174,50,0.00399885
1175,-50,0.00399885
1176,51,0.00399885
1177,51,0.00399885
1178,50,0.00399885
1179,50,0.00399885
1180,-50,0.00399885
1181,51,0.00399885
1182,50,0.00399885
1183,50,0.00399885
1184,50,0.00399885
1185,-51,0.00399885
1186,51,0.00399885
1187,51,0.00399885
1188,50,0.00399885
1189,50,0.00399885
1190,51,0.00399885
1191,-49,0.00399885
1192,50,0.00399885
1193,51,0.00399885
1194,50,0.00399885
1195,51,0.00399885
1196,-51,0.00399885
1197,48,0.00399885
1198,-49,0.00399885
1199,51,0.00399885
1200,50,0.00399885
1201,-50,0.00399885
1202,50,0.00399885
1203,50,0.00399885
1204,51,0.00399885
1205,-50,0.00399885
1206,-50,0.00399885
1207,51,0.00399885
1208,-50,0.00399885
1209,51,0.00399885
1210,50,0.00399885
1211,51,0.00399885
1212,51,0.00399885
1213,-51,0.00399885
1214,51,0.00399885
1215,51,0.00399885
1216,50,0.00399885
1217,-49,0.00399885
1218,-48,0.00399885
1219,51,0.00399885
1220,-50,0.00399885
1221,-50,0.00399885
1222,51,0.00399885
1223,50,0.00399885
1224,50,0.00399885
1225,50,0.00399885
1226,50,0.00399885
1227,49,0.00399885
1228,-50,0.00399885
1229,-51,0.00399885
1230,50,0.00399885
1231,-49,0.00399885
1232,50,0.00399885
1233,51,0.00399885
1234,50,0.00399885
1235,50,0.00399885
1236,50,0.00399885
1237,50,0.00399885
1238,-50,0.00399885
1239,50,0.00399885
1240,51,0.00399885
1241,-51,0.00399885
1242,-51,0.00399885
1243,51,0.00399885
1244,51,0.00399885
1245,-51,0.00399885
1246,51,0.00399885
1247,-50,0.00399885
1248,-51,0.00399885
1249,-49,0.00399885
1250,-51,0.00399885
1251,50,0.00399885
1252,-49,0.00399885
1253,50,0.00399885
1254,51,0.00399885
1255,50,0.00399885
1256,-49,0.00399885
1257,50,0.00399885
1258,50,0.00399885
1259,51,0.00399885
1260,-51,0.00399885
1261,-51,0.00399885
1262,-49,0.00399885
1263,50,0.00399885
1264,-51,0.00399885
1265,-50,0.00399885
1266,-50,0.00399885
1267,-50,0.00399885
1268,-49,0.00399885
1269,-50,0.00399885
1270,-51,0.00399885
1271,-51,0.00399885
1272,-51,0.00399885
1273,-51,0.00399885
1274,51,0.00399885
1275,50,0.00399885
1276,50,0.00399885
1277,51,0.00399885
1278,-50,0.00399885
1279,51,0.00399885
1280,-50,0.00399885
1281,-51,0.00399885
1282,50,0.00399885
1283,51,0.00399885
1284,-50,0.00399885
1285,-51,0.00399885
1286,51,0.00399885
1287,-50,0.00399885
1288,-50,0.00399885
1289,51,0.00399885
1290,50,0.00399885
1291,50,0.00399885
1292,-49,0.00399885
1293,50,0.00399885
1294,-50,0.00399885
1295,-51,0.00399885
1296,50,0.00399885
1297,-51,0.00399885
1298,51,0.00399885
1299,-51,0.00399885
1300,-50,0.00399885
1301,-49,0.00399885
1302,-51,0.00399885
1303,-50,0.00399885
1304,51,0.00399885
1305,51,0.00399885
1306,-50,0.00399885
1307,-50,0.00399885
1308,50,0.00399885
1309,-50,0.00399885
1310,51,0.00399885
1311,-51,0.00399885
1312,-50,0.00399885
1313,50,0.00399885
1314,51,0.00399885
1315,51,0.00399885
1316,-50,0.00399885
1317,-50,0.00399885
1318,-51,0.00399885
1319,-50,0.00399885
1320,-51,0.00399885
1321,-51,0.00399885
1322,50,0.00399885
1323,50,0.00399885
1324,50,0.00399885
1325,-49,0.00399885
1326,-50,0.00399885
1327,-50,0.00399885
1328,50,0.00399885
1329,51,0.00399885
1330,48,0.00399885
1331,-51,0.00399885
1332,-50,0.00399885
1333,50,0.00399885
1334,50,0.00399885
1335,-51,0.00399885
1336,-51,0.00399885
1337,50,0.00399885
