episode,netreward,epsilon
339,-51,0.167999
340,-50,0.155999
341,-50,0.151999
342,-51,0.147999
343,51,0.143999
344,-50,0.139999
345,51,0.127999
346,-50,0.127999
347,-50,0.123999
348,-51,0.107999
349,-48,0.103999
350,-50,0.0959989
351,-51,0.0919989
352,-50,0.0799989
353,-50,0.0759989
354,51,0.0719989
355,-50,0.0719989
356,-51,0.0679989
357,51,0.0679989
358,-50,0.0639989
359,-51,0.0639989
360,-50,0.0519989
361,-50,0.0479989
362,-50,0.0479989
363,51,0.0479989
364,-50,0.0439989
365,-50,0.0399989
366,-50,0.0359989
367,50,0.0319989
368,-50,0.0319989
369,-51,0.0319989
370,51,0.0319989
371,51,0.0279989
372,51,0.0239989
373,-49,0.0239989
374,-51,0.0159989
375,-50,0.0159989
376,51,0.00799885
377,-50,0.00399885
378,-51,0.00399885
379,-51,0.00399885
380,49,0.00399885
381,-50,0.00399885
382,-50,0.00399885
383,51,0.00399885
384,51,0.00399885
385,49,0.00399885
386,-50,0.00399885
387,-50,0.00399885
388,51,0.00399885
389,-50,0.00399885
390,50,0.00399885
391,50,0.00399885
392,-51,0.00399885
393,49,0.00399885
394,49,0.00399885
395,50,0.00399885
396,51,0.00399885
397,-51,0.00399885
398,51,0.00399885
399,-51,0.00399885
400,-51,0.00399885
401,50,0.00399885
402,50,0.00399885
403,-51,0.00399885
404,-51,0.00399885
405,-49,0.00399885
406,-51,0.00399885
407,-50,0.00399885
408,-50,0.00399885
409,-51,0.00399885
410,50,0.00399885
411,-50,0.00399885
412,-50,0.00399885
413,-50,0.00399885
414,51,0.00399885
415,-50,0.00399885
416,-50,0.00399885
417,51,0.00399885
418,-51,0.00399885
419,50,0.00399885
420,-51,0.00399885
421,-51,0.00399885
422,50,0.00399885
423,50,0.00399885
424,-50,0.00399885
425,-48,0.00399885
426,51,0.00399885
427,51,0.00399885
428,-51,0.00399885
429,-51,0.00399885
430,51,0.00399885
431,-51,0.00399885
432,50,0.00399885
433,-50,0.00399885
434,50,0.00399885
435,50,0.00399885
436,-50,0.00399885
437,51,0.00399885
438,51,0.00399885
439,-50,0.00399885
440,50,0.00399885
441,-51,0.00399885
442,50,0.00399885
443,51,0.00399885
444,51,0.00399885
445,50,0.00399885
446,48,0.00399885
447,51,0.00399885
448,-51,0.00399885
449,-50,0.00399885
450,-50,0.00399885
451,50,0.00399885
452,-51,0.00399885
453,50,0.00399885
454,-51,0.00399885
455,-51,0.00399885
456,-51,0.00399885
457,50,0.00399885
458,-48,0.00399885
459,-50,0.00399885
460,50,0.00399885
461,-50,0.00399885
462,-51,0.00399885
463,-50,0.00399885
464,50,0.00399885
465,-50,0.00399885
466,-50,0.00399885
467,-51,0.00399885
468,50,0.00399885
